,link,title,snippet,is,is not,isn't,will,will not,won't,could,could not,couldn't,can,cannot,can't,are,are not,aren't
11,https://mila.quebec/en/ai-society/visualizing-climate-change/,Visualizing Climate Change - Mila,"... outcomes of climate change using cutting-edge techniques from artificial intelligence and climate modeling. Bringing together researchers from different areas, ...",,,,,,,,,,"Bringing together researchers from different areas, we aim to design an educational tool that will produce accurate and vivid renderings of the future outcomes of climate change as they are likely to affect individuals.Initial resultsHelp Us Collect Images!We are currently working on a website and mobile app for collecting images of flooded houses and streets to train our model.Help us by sending your images!Current Team MembersYoshua BengioScientific DirectorErick LachapelleAssociate professor (Political science)Sasha LuccioniPostdocVahe VardanyanPostdocVictor SchmidtPhD StudentMélisande TengResearch Intern (Machine Learning)Sunand RaghupathiIntern (Machine Learning)Tianyu ZhangMachine Learning InternAlexia ReynaudMachine Learning InternPast Team MembersShivam PatelIntern - EconomicsSahil BansalIntern - Machine LearningLéonard BoussiouxMobile App Developer (ClimatePix)Charles Guille-EscuretMobile App Developer (ClimatePix)Vitoria Barin PacelaIntern (Climate Science + ML)Gautier CosneResearch Intern (Machine Learning)Adrien JuraverResearch Intern (Machine Learning)Ayesha LiaqatResearch Intern (Behavioral Science)Yimeng MinResearch Intern (Climate Science)Mike ArpaiaMachine Learning EngineerIn the News...Les ravages des inondations avec les lunettes de 2050 (La Presse, September 6th 2019)Getting the picture on climate change (UdeM news, September 3rd 2019)How artificial intelligence can tackle climate change (National Geographic News, July 18th 2019)Fighting the Climate Crisis: 6 Future Game-Changers Made Possible by Deep Learning (Towards Data Science, June 30th 2019)Now there’s a CycleGAN to visualize the effects of climate change.",,,,,
12,https://journals.sagepub.com/doi/full/10.1177/2043886920961782,Rho AI – Leveraging artificial intelligence to address climate change ...,"Feb 23, 2021 ... The case focusses on Rho AI, a data science firm, and its attempt to leverage artificial intelligence to encourage environmental, social and ...",,,,,,,"(Fischer and Beswick, 2019, Online interview with David McColl, 21 November)Using data that linked companies’ language use with their historical climate impact, Rho AI could build a model that would predict the linkage between language use and actual climate impact currently and in the future.",,,,,,,,
13,https://cloud.google.com/blog/topics/public-sector/leveraging-google-geospatial-ai-prepare-climate-resilience,Leveraging Google geospatial AI to prepare for climate resilience ...,"Jun 8, 2021 ... While there is uncertainty about how much the climate will change in the future, we know it won't look like the past. Extreme weather events will ...",,,,And the data will only continue to grow.,,,,,,"Years of data can now be quantitatively analyzed and visualized in a matter of a few seconds, enabling government agencies to fulfill their mandates by drawing invaluable insights into how landscapes are changing, what physical and natural assets are at risk, and where the opportunities are for reducing emissions and increasing carbon sequestration.",,,,,
14,https://www.ft.com/content/fa8885f6-ad69-3dd0-a437-6aeb23c753ad,AI and climate change transform investment sector | Financial Times,"Sep 15, 2019 ... Climate change and artificial intelligence will reshape the future of investing, according to an analysis that indicates that much of the asset ...",,,,,,,,,,,,,,,
15,https://www.elementai.com/ai-for-climate,AI for Climate | Element AI,Element AI is using AI to help tackle the climate crisis and transform the environmental impact of business. Our products and services enable customers to run ...,,,,,,,,,,,,,,,
16,https://www.zdnet.com/article/ai-can-fight-climate-change-but-theres-a-catch-optimization-doesnt-automatically-equal-emissions-reduction/,AI can fight climate change but there's a catch: Optimization doesn't ...,"Jan 15, 2020 ... The good news for planet earth is that artificial intelligence has some brilliant tools that may help slow or reverse global warming. The bad news is ...",,,,,,,,,,"Go












 









Menu



                Videos
            



                Windows 10
            



                5G
            



                Best VPNs
            



                Cloud
            



                Security
            



                AI
            



                Working from Home
            



                Innovation
            



                Best Web Hosting
            



                ZDNet Recommends
            



                Tonya Hall Show
            



                Executive Guides
            



                ZDNet Academy
            



                See All Topics 
            



                Downloads
            



                Reviews
            



                Galleries
            



                Videos
            
























Preferences
Community
Newsletters
Log Out

 



us




            Asia
        



            Australia
        



            Europe
        



            India
        



            United Kingdom
        



            United States
        

ZDNet around the globe:


            ZDNet France
        



            ZDNet Germany
        



            ZDNet Korea
        



            ZDNet Japan
        




 











AI can fight climate change but there's a catch: Optimization doesn't automatically equal emissions reduction
Luminaries of AI such as Yoshua Bengio gathered in Vancouver last month to champion ways machine learning can mitigate global warming.",,,,,
17,https://www.smartindustry.com/blog/smart-industry-connect/using-artificial-intelligence-to-combat-climate-change/,Using artificial intelligence to combat climate change,"Jul 27, 2021 ... AI applications such as reinforcement learning frameworks can support initiatives including carbon capture and sequestration, reducing drilling of ...",,,,,,,,,,,,,,,
18,https://searchenterpriseai.techtarget.com/feature/AI-and-climate-change-The-mixed-impact-of-machine-learning,AI and climate change: The mixed impact of machine learning,"Nov 15, 2019 ... While AI can play a role in helping researchers and conservationists address the impacts of climate change, it can also contribute to carbon ...",,,,,,,,,,,,,,,
19,https://observer.com/2019/08/artificial-intelligence-bitcoin-cloud-computing-climate-change/,"Artificial Intelligence, Bitcoin, Cloud Computing Fuels Climate Change","Aug 15, 2019 ... Artificial intelligence (AI), along with cloud computing and Bitcoin mining, have become an enormous and growing source of carbon emissions, ...",,,,,,,"Until recently, more than a few scholarly dives into AI and the electricity grid focused on how AI could make power usage or other current carbon-emission-generating pastimes smarter.",,,,,,,,
20,https://medium.com/@AINowInstitute/ai-and-climate-change-how-theyre-connected-and-what-we-can-do-about-it-6aa8d0f5b32c,"AI and Climate Change: How they're connected, and what we can ...","AI provided by major tech companies is being used to accelerate oil & gas discovery and excavation, effectively speeding up climate change. As researchers ...",,,,,,,,,,,,,,,
21,https://iopscience.iop.org/article/10.1088/1748-9326/ab4e55,Machine learning and artificial intelligence to aid climate change ...,"Nov 22, 2019 ... Climate change is a complex scientific and multifaceted issue, amenable to ML and AI analysis, but in general, this has not yet occurred.",,,,,,,,,,,,,,,
22,https://aaas.confex.com/aaas/2020/meetingapp.cgi/Session/24463,AI for Climate Change Adaptation,Climate change adaptation has become increasingly significant as mitigation efforts are not sufficient. Forerunners in adaptation research employ Artificial ...,,,,,,,,,,,,,,,
23,https://www.brookings.edu/research/how-artificial-intelligence-will-affect-the-future-of-energy-and-climate/,How artificial intelligence will affect the future of energy and climate,"Jan 10, 2019 ... The impacts of AI are numerous, and the energy industry and climate change are no exception.","At the moment, my sense is that AI is having a bigger impact in oil and gas than in renewables because the kinds of activities that are unlocking new hydrocarbon resources—notably the shale revolution in oil and gas which requires mapping complex underground reservoirs and tailoring drilling methods4—are particularly well-suited to the recursive, complex learning processes that AI is well-suited to deliver.",,,,,,,,,,,,,,
24,https://www.theverge.com/2019/6/25/18744034/ai-artificial-intelligence-ml-climate-change-fight-tackle,Here's how AI can help fight climate change according to the field's ...,"Jun 25, 2019 ... Climate change is one of the greatest threats facing humanity, and AI could help tackle the problems it poses. In a new paper, some of the ...",,,,,,,,,,,,,,,
25,https://www.preventionweb.net/news/climate-change-action-using-ai,Climate change action using AI,"Jun 28, 2021 ... Can we use artificial intelligence (AI), the most powerful tool that humanity has at its disposal, to tackle climate change, the most pressing ...","Within these fields, the possibilities include more energy-efficient buildings, creating new low-carbon materials, better monitoring of deforestation, and greener transportation.”
AI is not a silver bullet, says David Rolnick, one of the paper’s authors, but it brings new insights to the climate change problem.","Within these fields, the possibilities include more energy-efficient buildings, creating new low-carbon materials, better monitoring of deforestation, and greener transportation.”
AI is not a silver bullet, says David Rolnick, one of the paper’s authors, but it brings new insights to the climate change problem.",,,,,,,,,,,,,
26,https://unfccc.int/about-us/partnerships/climate-change-data-using-satellites-ai-and-big-data-a-multi-stakeholder-perspective,"Climate Change Data using Satellites, AI and Big Data: A Multi ...","Dec 1, 2020 ... UNFCCC Climate Change Dialogues 01 December 2020 17:00 to 18:30 CET Virtual panel discussion with webcast open to the public ...",,,,,,,,,,,,,,,
27,https://eu.boell.org/en/2020/12/03/artificial-intelligence-and-climate-change,Artificial Intelligence and Climate Change | Heinrich Böll Stiftung ...,"Dec 3, 2020 ... On the one hand, AI can facilitate climate change mitigation and adaptation strategies within a variety of sectors, such as energy, manufacturing ...",,,,,,,,,,,,,,,
28,https://www.nationalgeographic.co.uk/science-and-technology/2019/07/how-artificial-intelligence-can-tackle-climate-change,How artificial intelligence can tackle climate change | National ...,"Jul 19, 2019 ... AI can also unlock new insights from the massive amounts of complex climate simulations generated by the field of climate modelling, which has ...","“AI is not a silver bullet,” he says.","“AI is not a silver bullet,” he says.",,,,,,,,,,,,,
29,https://ccs.eng.ufl.edu/events/coastal-adaptation-to-sea-level-rise-climate-change-ai-webinar-series/,Coastal Adaptation to Sea Level Rise - Climate Change AI Webinar ...,"Coastal Adaptation to Sea Level Rise – Climate Change AI Webinar Series. May 21, 2021 in Seminar. Date/Time Date(s) - 05/21/2021 2:00 pm - 3:30 pm.",,,,,,,,,,,,,,,
30,https://www.bbva.com/en/sustainability/artificial-intelligence-an-ally-against-climate-change/,"Artificial Intelligence, an ally against climate change | BBVA","Sep 16, 2019 ... Using big data and machine learning could help drive energy efficiency, transforms industries such as the new eco-friendlyagriculture and ...",,,,,,,,,,,,,,,
31,https://www.idrc.ca/en/funding/call-expressions-interest-managing-organization-hub-responsible-artificial-intelligence,Call for expressions of interest: Managing Organization (Hub) for ...,"Apr 6, 2021 ... Call for expressions of interest: Managing Organization (Hub) for Responsible Artificial Intelligence for Climate Action Innovation Research ...",,,,,,,,,,,,,,,
32,https://www.mdpi.com/1424-8220/19/8/1807,Sensors | Free Full-Text | Remote Control of Greenhouse Vegetable ...,"Artificial intelligence (AI) has reached breakthroughs in several areas, ... with Artificial Intelligence—Greenhouse Climate, Irrigation, and Crop Production. by.",,,,,,,,,,,,,,,
33,https://caia.org/blog/2019/09/24/climate-change-and-artificial-intelligence-as-investment-mega-trends,Climate Change and Artificial Intelligence as Investment Mega-Trends,"Sep 24, 2019 ... A report from CREATE in collaboration with BNY Mellon looks at two related megatrends in investing—climate change and artificial intelligence ...",,,,,,,,,,,,,,,
34,https://www.washington.edu/news/2020/08/26/faculty-from-allen-school-evans-school-tapped-for-nsf-institutes-on-artificial-intelligence/,"Faculty from Allen School, Evans School tapped for NSF institutes ...","Aug 26, 2020 ... The NSF AI Institute for Research on Trustworthy AI in Weather, Climate, and Coastal Oceanography assembles researchers in machine ...",,,,,,,,,,,,,,,
35,https://rmi.org/our-work/climate-intelligence/,Climate Intelligence - RMI,Support the establishment of open-source data platforms; tap artificial intelligence and machine-learning technologies to access better data. Leverage emissions ...,,,,,,,,,,,,,,,
36,https://abc7.com/climate-change-california-indoor-farming-vertical-technology-in-agriculture/10503046/,California Dreaming: Artificial intelligence and robots are helping ...,"Apr 14, 2021 ... Rising temperatures caused by climate change are forcing farmers to look for ways to grow crops. Some are using artificial intelligence and ...","""Technology and artificial intelligence is already making an impact in the fields of Salinas.For the past year, FarmWise has been using robotic tractors to pick weeds around crops like cauliflower and romaine lettuce.",,,,,,,,,,,,,,
37,https://volofoundation.org/,VoLo Foundation – Positive Change in the World Through Data ...,"Jan 20, 2021 ... Our Mission. Positive Change In The World. Through Data-Driven Research ... Climate Change Adaptation and Mitigation. 3%. Education ...",,,,,,,,,,,,,,,
38,https://cal-adapt.org/data/,Cal-Adapt with climate data,Climate datasets on Cal-Adapt include historical observations and downscaled climate projections. These climate datasets can be gridded or station based.,,,,,,,,,,,,,,,
39,https://climate.nasa.gov/evidence/,Evidence | Facts – Climate Change: Vital Signs of the Planet,"Vital Signs of the Planet: Global Climate Change and Global Warming. ... 2010; Vostok ice core data/J.R. Petit et al.; NOAA Mauna Loa CO2 record. ... Fahrenheit (1.18 degrees Celsius) since the late 19th century, a change driven largely by ...",,,,,,,,,,,,,,,
40,https://crewsnet.mit.edu/goals,Our Goals | CREWSNET,"With improved forecasting informing comprehensive climate change adaptation ... data-driven, and community-based approaches to climate change adaptation.",,,,,,,,,,,,,,,
41,https://www.climate.axa/climate-adaptation-consulting,Climate Adaptation - AXA Climate | Consulting,"We help companies and portfolio managers monitor, report, and understand the physical and financial impact of climate risks through data-driven tools, climate ...",,,,,,,,,,,,,,,
42,https://www.preventionweb.net/go/59935,A big data approach to estimating climate-driven mortality impacts ...,"Aug 2, 2018 ... In the first global, empirical study of mortality risk to capture both the costs and benefits of climate adaptation, we find the increased global ...",,,,,,,,,,,,,,,
43,https://medium.datadriveninvestor.com/climate-change-datasets-for-data-science-projects-e11c5e0a8989,Climate Change Datasets For Data Science Projects | by Limarc ...,"Oct 28, 2020 ... With the climate change datasets on this list, many data scientists have ... can view climate change data visualizations based on historical data ...","Most importantly, the data is available for free download.United States Data8.",,,,,,,,,,,,,,
44,https://unfccc.int/news/commitments-to-net-zero-double-in-less-than-a-year,UN Climate Press Release: Commitments to Net Zero Double in ...,"Sep 21, 2020 ... Alok Sharma said: ““Climate change affects every single one of us and ... according to the Data-Driven EnviroLab and the NewClimate Institute, ...",,,,,,,,,,,,,,,
45,https://www.waterra.com.au/project-details/211,Better data driven decision making under future climate uncertainty ...,Better data driven decision making under future climate uncertainty. Project ... Resiliwiki - Climate Adaptation webpage click here [Project team access only] ...,,,,,,,,,,,,,,,
46,https://digitalcommons.uri.edu/oa_diss/713/,"""Towards a Comparative Index of Seaport Climate Vulnerability ...","In the face of climate change impacts projected over the coming century, seaport ... the state of data-driven Climate Impact Adaptation and Vulnerability (CIAV) ...",,,,"These results suggest that a composite index based on open-data may eventually prove useful as a data-driven tool for identifying outliers in terms of relative seaport vulnerabilities, however, improvements in the standardized reporting and sharing of port data will be required before such an indicator-based assessment method can prove decision-relevant.",,,,,,,,,,,
47,https://www.climate-kic.org/opinion/ai-and-climate-change-the-promise-the-perils-and-pillars-for-action/,"AI and climate change: The promise, the perils and pillars for action ...","Nov 5, 2020 ... AI for climate action has the potential to reduce global greenhouse gas emissions by up to 4.0 per cent (5). However, global data centres and ...",,,,"AI will not be a substitute for more integrative ways of knowing or even degrowthist political agendas — but rather, when used responsibly, can be an enabler that helps us move faster to a safe and just post carbon world.","AI will not be a substitute for more integrative ways of knowing or even degrowthist political agendas — but rather, when used responsibly, can be an enabler that helps us move faster to a safe and just post carbon world.",,,,,,,,,,
48,https://wiki.climatechange.ai/wiki/Welcome_to_the_Climate_Change_AI_Wiki,#NAME?,"Jun 15, 2021 ... Whether you are a machine learning researcher looking to apply your skills to combat climate change, or an early career researcher aiming to ...",,,,,,,,,,,,,,,
49,https://news.climate.columbia.edu/2018/06/05/artificial-intelligence-climate-environment/,Artificial Intelligence—A Game Changer for Climate Change and the ...,"Jun 5, 2018 ... AI and deep learning are also improving weather forecasting and the prediction of extreme events. That's because they can incorporate much ...",,,,,,,,,,,,,,,
50,https://www.linkedin.com/company/climatechangeai,Climate Change AI | LinkedIn,Climate Change AI | 1715 followers on LinkedIn. Tackling climate change with machine learning. We facilitate cooperation and provide resources for work in this ...,,,,,,,,,,,,,,,
51,https://us3.campaign-archive.com/home/?u=a5463f28627a77a4b2a79e7d0&id=e28537c7a1,Climate Change AI,Email Campaign Archive · 07/16/2021 - Climate Change AI newsletter - July 2021 · 06/15/2021 - Climate Change AI newsletter - June 2021 · 05/14/2021 - Climate ...,"


  





Email Campaign Archive

from Climate Change AI

join our mailing list

08/16/2021 - Climate Change AI newsletter - August 202108/10/2021 - NeurIPS 2021 Climate Change and Machine Learning07/16/2021 - Climate Change AI newsletter - July 202106/15/2021 - Climate Change AI newsletter - June 202105/14/2021 - Climate Change AI newsletter - May 202104/21/2021 - ICML 2021 Climate Change and Machine Learning04/12/2021 - Climate Change AI newsletter - April 202103/12/2021 - Climate Change AI newsletter - March 202102/12/2021 - Climate Change AI newsletter - February 202101/19/2021 - Climate Change AI newsletter - January 202112/18/2020 - Climate Change AI newsletter - December 18, 202012/07/2020 - NeurIPS 2020 climate change workshop: Register by today11/30/2020 - Climate Change AI newsletter - November 30, 202010/28/2020 - Climate Change AI newsletter - October 28, 202009/29/2020 - Climate Change AI newsletter - September 29, 202008/29/2020 - Climate Change AI newsletter - August 29, 202008/26/2020 - Climate Change AI is recruiting!08/17/2020 - NeurIPS 2020 climate change workshop: Call for submissions and mentorship program07/29/2020 - Climate Change AI newsletter - July 29, 202006/28/2020 - Climate Change AI newsletter - June 28, 2020",,,,,,,,,,,,,,
52,https://eiuperspectives.economist.com/sustainability/green-intelligence-ai-could-boost-efforts-fight-climate-change,Green Intelligence - AI could boost efforts to fight climate change ...,"May 17, 2021 ... As humanity stares down the challenge of climate change, researchers and entrepreneurs are hoping to leverage AI to address one of the most ...","Although it will not be a panacea, AI is rising in importance as a crucial tool to reduce greenhouse gas emissions.",,,,,,"







Skip to main content





- Click here or hit enter to search -


 

Home


Latest Updates


Popular


EIU Perspectives Series


Sections


Technology & Innovation 

Talent & Education 

Sustainability 

Financial Services 

Energy 

Healthcare 

Infrastructure & Cities 

Strategy & Leadership 

Marketing 

Economic Development 




Trending Topics

Automation
Data & Analytics
Digital Transformation
Cyber Security
Artifical Intelligence
Blockchain
Cancer
Trade
Transportation
All Topics




Regions

Global
Africa
Asia
Australasia
Europe
Latin America
Middle East
North America




Content Types

Articles
Whitepapers
Infographics
Videos
Blogs
Case Study
Podcast




Our Editors
Our Contributors
Economist Events




General Menu
About Us
Contact Us
Media Centre




Follow Us
Twitter
Facebook
LinkedIn











Toggle navigation






Sign up for Weekly Digest






Menu



Close

- Click here or hit enter to search -


 
 




Technology & Innovation

Financial services

Healthcare

Strategy and Leadership

Sustainability

All Sections +






EIU Digital Economy podcast
Home
 



















Green Intelligence - AI could boost efforts to fight climate change





Sign up for Weekly Digest






Sustainability
Green Intelligence - AI could boost efforts to fight climate change




May 17, 2021


  Global



 


  Michael  
  Gold 



Social Share:


LinkedIn



Twitter



Facebook



Email
      


 






  Michael  
  Gold 




 








May 17, 2021


  Global



 


  Michael  
  Gold 



Social Share:


LinkedIn



Twitter



Facebook



Email
      


 





















  Michael  
  Gold 

Editor, The Economist Intelligence Unit


Michael is a managing editor for The Economist Intelligence Unit's thought leadership division.",,,,,,,,
53,https://www.cmu.edu/news/stories/archives/2020/january/experts-design-to-impact-2020.html,"Experts: Design To Impact Climate Change, AI in 2020","Jan 22, 2020 ... Experts: Design To Impact Climate Change, AI in 2020 ... Two Carnegie Mellon University professors anticipate 2020 will bring more opportunities ...",,,,,,,,,,,,,,,
54,https://www.capgemini.com/research/climate-ai/,Climate AI,The heat is on to turn down climate change – AI can help. · Combat the negative impact of AI on the climate. · Educate their employees on the criticality of climate ...,,,,,,,We wanted to understand whether AI could help.,,,,,,,,
55,https://www.mckinsey.com/business-functions/mckinsey-analytics/our-insights/the-age-of-analytics-competing-in-a-data-driven-world,The age of analytics: Competing in a data-driven world | McKinsey,"Dec 7, 2016 ... The age of analytics: Competing in a data-driven world ... A new report from the McKinsey Global Institute (MGI), The age of analytics: ... legacy companies have to do the hard work of overhauling or changing existing systems.",,,,,,,,,,"Granular data can be used to personalize products and services—including, most intriguingly, healthcare.",,,,,
56,https://talkofthecities.iclei.org/iclei-and-google-org-launch-case-studies-on-data-driven-climate-action/,ICLEI and Google.org launch case studies on data-driven ... - CityTalk,"Jun 22, 2021 ... As part of the Data-Driven Climate Action project, ICLEI has launched four ... The value of publicly available data for enhancing climate change ...","Read: Using Data to Support the Decarbonization of the City of Birmingham, UK
In addition to the four case studies, ICLEI hosted webinars to present these case studies, enable peer-exchange and help to address questions regarding how data is collected, interpreted, and managed for taking decisions as well as its contributions to improve a city’s climate action.",,,,,,,,,The Monterrey example shows how climate-related data can support climate planning and monitoring by providing robust greenhouse gas reduction estimates.,,,"Read: From Climate Data to Climate Action, Data-Driven Projects in Mexico
 
Birmingham, United Kingdom
The example of the United Kingdom where energy and climate-related data are being translated into a strategic project in Birmingham.",,
57,http://www.koreaherald.com/view.php?ud=20210610000962,[#WeFACE] Artists warn looming climate crisis through data-driven ...,"Jun 10, 2021 ... The initiative allowed artists to create interactive pieces on climate change by using key findings from a UN report and data from international ...",,,,,,,,,,,,,,,
58,https://ojs.aaai.org/index.php/AAAI/article/view/17749,RainBench: Towards Data-Driven Global Precipitation Forecasting ...,"May 18, 2021 ... Climate change further aggravates this issue. Data-driven deep learning approaches could widen the access to accurate multi-day forecasts, ...",,,,,,,,,,,,,,,
59,https://leadingedgeforum.com/insights/zeroing-in-data-driven-sustainability-strategy-for-a-climate-altered-world/,Zeroing in: Data-driven sustainability strategy for a climate-altered ...,"Oct 7, 2020 ... Current and future climate events mean that preparation and planning for a changing world are now essential. The businesses most ...",Better and more comprehensive data is needed going forward for both planning and mitigation purposes.,,,,,,,,,,,,,,
60,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315456935-9/data-driven-approaches-climate-change-discourse-illustrated-case-studies-blogs-international-climate-negotiation-andrew-salway,"Data-Driven Approaches to Climate Change Discourse, Illustrated ...","Data-Driven Approaches to Climate Change Discourse, Illustrated through Case Studies of Blogs and International Climate Negotiation.",,,,,,,,,,,,,,,
61,https://thehill.com/policy/energy-environment/418502-sarah-sanders-calls-climate-change-report-most-extreme-version-not,Sarah Sanders: Climate change report 'not based on facts' | TheHill,"Nov 27, 2018 ... We'd like to see something that is more data driven. It's based on modeling, which is extremely hard to do when you're talking about the climate ...",,,,,,,,,,,,,,,
62,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4174912/,A Big Data Guide to Understanding Climate Change: The Case for ...,Global climate change and its impact on human life has become one ...,,,,,,,,,,,,,,,
63,https://repository.cimmyt.org/bitstream/handle/10883/20205/60822.pdf?sequence=1&isAllowed=y,Data-driven solutions for Africa,"Bringing the data revolution to smallholder farmers 8 ... However, climate change could put up to 40% of that ... the spread of data-driven agriculture in Africa.",,,,,,,,,,,,,,,
64,https://urbanfootprint.com/data-driven-planning-for-city-resilience-sea-level-rise/,Data-Driven Planning for City Resilience: Quantifying Sea Level ...,"Jun 13, 2018 ... As cities nationwide are feeling the increasing impacts of climate change and natural disasters, planners are working to safeguard their ...",,,,,,,,,,,,,,,
65,https://environment.yale.edu/news/article/at-bonn-data-driven-yale-wins-award-in-un-data-for-climate-action-contest/,"At Bonn, Data Driven Yale Wins Award in UN Data for Climate ...","Nov 14, 2017 ... A team from Data-Driven Yale, an F&ES-based project working at the ... award for linking climate change to sustainable development goals.",,,,,,,,,,,,,,,
66,https://www.smartcitiesdive.com/news/google-creates-4m-fund-for-data-driven-climate-projects/569020/,Google creates $4M fund for data-driven climate projects | Smart ...,"Dec 13, 2019 ... ... Sustainability to help nonprofits and academic institutions in Europe and Latin America work on data-driven projects to fight climate change.",,,,,,,,,,,,,,,
67,http://nature.berkeley.edu/battleslab/wp-content/uploads/2015/03/Battles-et-al.-2008_Climate-change-impacts.pdf,Climate change impacts on forest growth and tree mortality: a data ...,"Dec 7, 2007 ... mortality: a data-driven modeling study in the mixed- ... of the impact of projected climate change for a specific forest at a specific location. We.",,,,,,,,,,,,,,,
68,https://undp.medium.com/bringing-tony-starks-tools-to-undp-s-data-driven-initiatives-b54b917931e,Bringing Tony Stark's tools to UNDP's data-driven initiatives | by UN ...,"As UNDP shifts to an integrated, data-driven approach (SparkBlue), new ... of principles to curb greenhouse gas emissions and tackle climate change head on.",,,,,,,,,,"Unlike in a simple presentation, data can be charted along three different axes and viewed from all sides in a shared online space.The Zimbabwe project is one of several pilot programmes being run by the PAA project to learn how to utilize spatial computing for UNDP’s digital initiatives.",,,,,
69,https://databricks.com/blog/2020/07/10/a-data-driven-approach-to-environmental-social-and-governance.html,How to Take a Data-driven Approach to ESG investing with Apache ...,"Jul 10, 2020 ... A data-driven approach to Environmental, Social and Governance ... back to society or even how they mitigate climate change by, for example, ...",,,,,,,,,,,,,,,
70,https://medium.com/illumination/making-climate-change-real-with-data-driven-art-2ffc3ed3491a,Making Climate Change “Real” with Data-Driven Art | by Toby Israel ...,"Oct 15, 2020 ... Participatory public art puts data directly into the hands of the community, empowering them to advocate for themselves with local governments, ...",,,,,,,,,,,,,,,
71,https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.15515,Data‐driven estimates of global litter production imply slower ...,"Jan 9, 2021 ... ... turnover time (τveg) is critical for reducing uncertainties in terrestrial vegetation response to future climate change. However, in the absenc...",,,,,,,,,,,,,,,
72,https://arxiv.org/abs/2012.00678,Meta-modeling strategy for data-driven forecasting,"Nov 14, 2020 ... Accurately forecasting the weather is a key requirement for climate change mitigation. Data-driven methods offer the ability to make more ...",,,,,,,,,,,,,,,
